compound_name	SMILES	corrected_SMILES	formula	neutralized_formula	exact_mass
isolithocholic_acid	O[C@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1	O[C@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1	C24H40O3	C24H40O3	376.29774514791
hyodeoxycholic_acid	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])C[C@H](O)[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])C[C@H](O)[C@@]([H])2C1	C24H40O4	C24H40O4	392.29265976748
ursodeoxycholic_acid	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@@]([H])2C1	C24H40O4	C24H40O4	392.29265976748
isochenodeoxycholic_acid	O[C@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	O[C@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	C24H40O4	C24H40O4	392.29265976748
lagodeoxycholic_acid	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1	C24H40O4	C24H40O4	392.29265976748
3-epideoxycholic_acid	O[C@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1	O[C@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1	C24H40O4	C24H40O4	392.29265976748
3b,12b-dihydroxy-5b-cholanoic_acid	O[C@H]1CC[C@]2(C)[C@@]3([H])C[C@@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1	O[C@H]1CC[C@]2(C)[C@@]3([H])C[C@@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])CC[C@@]([H])2C1	C24H40O4	C24H40O4	392.29265976748
hyocholic_acid	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)[C@H](O)[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)[C@H](O)[C@@]([H])2C1	C24H40O5	C24H40O5	408.28757438705
beta-muricholic_acid	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)[C@@H](O)[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)[C@@H](O)[C@@]([H])2C1	C24H40O5	C24H40O5	408.28757438705
3a,7b,12b-trihydroxy-5b-cholanoic_acid	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@@]([H])2C1	C24H40O5	C24H40O5	408.28757438705
lagocholic_acid	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	C24H40O5	C24H40O5	408.28757438705
isoursocholic_acid	O[C@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@@]([H])2C1	O[C@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@@]([H])2C1	C24H40O5	C24H40O5	408.28757438705
3a,7b,12a-trihydroxy-5b-cholanoic_acid	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@@]([H])2C1	O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@@]([H])2C1	C24H40O5	C24H40O5	408.28757438705
isocholic_acid	O[C@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	O[C@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1	C24H40O5	C24H40O5	408.28757438705
3b,7b,12b-trihydroxy-5b-cholanoic_acid	O[C@H]1CC[C@]2(C)[C@@]3([H])C[C@@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@@]([H])2C1	O[C@H]1CC[C@]2(C)[C@@]3([H])C[C@@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@@]([H])2C1	C24H40O5	C24H40O5	408.28757438705
12-keto-lithocholic_acid	C[C@H](CCC(O)=O)[C@H]([C@]12C)CC[C@@]1([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC2=O	C[C@H](CCC(O)=O)[C@H]([C@]12C)CC[C@@]1([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC2=O	C24H38O4	C24H38O4	390.27700970302
